what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362701923898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362701946478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362701946509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362701997934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702731738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1362702731817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702732848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702749819
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1362702754984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702781375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702787099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362702795113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362702795130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362702803165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702803890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702812510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702814246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702956370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702958284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702959667
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362702992282
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1362703023914
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1362703024683
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1362703024777
